Insee.Com;Nom.Com;POPULATION;densitePopCommune
39549;VERCIA;314;0.751196172248804
14167;COLOMBELLES;5973;8.47234042553191
76754;YPORT;884;4.09259259259259
2014;AMIGNY-ROUY;742;0.563829787234043
11193;LASSERRE-DE-PROUILLE;231;0.528604118993135
57397;LEY;106;0.173202614379085
10317;LES RICEYS;1304;0.302762944044579
24284;MONTAGNAC-D'AUBEROCHE;145;0.141463414634146
61110;LA COCHERE;148;0.113236419280796
2665;GRAND-ROZOY;314;0.2512
26239;PLAISIANS;187;0.061655126937026
18110;HERRY;1034;0.207297514033681
62081;BARALLE;469;0.58625
42097;LA FOUILLOUSE;4316;2.05230622919639
70380;NEUREY-EN-VAUX;160;0.302457466918715
51208;DAMPIERRE-SUR-MOIVRE;113;0.0981754995655951
28390;TILLAY-LE-PENEUX;333;0.149260421335724
3237;SAINT-GERMAIN-DE-SALLES;430;0.367835757057314
79064;CHAIL;524;0.414229249011858
21159;LA CHAUME;111;0.0335854765506808
21023;ARNAY-LE-DUC;1509;1.25228215767635
76269;FONTAINE-EN-BRAY;169;0.278877887788779
71038;LES BIZOTS;469;0.215533088235294
64304;LAHONCE;2139;2.18042813455657
60347;LANNOY-CUILLERE;271;0.181149732620321
2B250;PRUNELLI-DI-CASACCONI;151;0.250830564784053
22376;TREVE;1628;0.61042369703787
50186;FLOTTEMANVILLE;190;0.39832285115304
62732;SACHIN;321;0.537688442211055
43265;LES VILLETTES;1285;1.1068044788975
53180;POMMERIEUX;692;0.299437472955431
80002;ABLAINCOURT-PRESSOIR;278;0.282807731434385
5025;BUISSARD;190;0.641891891891892
2B342;VENTISERI;2413;0.51296768707483
15102;LAVIGERIE;103;0.0427563304275633
53173;LA PALLU;187;0.285060975609756
45303;SCEAUX-DU-GATINAIS;651;0.20581726209295
67240;KIRCHHEIM;674;2.77366255144033
41068;COURMEMIN;519;0.197865040030499
70263;GENEVREY;242;0.200331125827815
51537;SIVRY-ANTE;182;0.0841813135985199
22104;LANGUEDIAS;464;0.529680365296804
46300;SAUX;118;0.142857142857143
47262;SAINT-NICOLAS-DE-LA-BALERME;386;0.802494802494803
2500;MONTBREHAIN;843;0.845536609829488
89379;SAVIGNY-EN-TERRE-PLAINE;152;0.172140430351076
25237;FESCHES-LE-CHATEL;2251;6.44985673352436
7129;LAMASTRE;2404;0.935044729677168
85084;ESSARTS EN BOCAGE;8460;1.49628581535196
51239;ETRECHY;119;0.177611940298507
60229;LE FAYEL;228;0.853932584269663
2108;BOURGUIGNON-SOUS-MONTBAVIN;147;0.757731958762887
27253;FONTAINE-LA-SORET;387;0.398558187435633
65128;CASTELBAJAC;124;0.14975845410628
72161;LHOMME;860;0.46866485013624
25379;MESMAY;71;0.233552631578947
33006;ANGLADE;928;0.671976828385228
55555;VILLE-DEVANT-BELRAIN;29;0.0467741935483871
73315;VILLARD-LEGER;518;0.752906976744186
89085;CHARMOY;1166;1.67048710601719
67052;BOERSCH;2412;1.01686340640809
26268;ROCHEBAUDIN;120;0.158520475561427
8031;AURE;50;0.0394944707740916
2413;LAVAL-EN-LAONNOIS;252;0.555066079295154
91540;SAINT-CHERON;4849;4.2128583840139
24466;SAINT-MICHEL-DE-MONTAIGNE;351;0.37741935483871
89059;BUSSY-EN-OTHE;748;0.130449947680502
73121;FRONTENEX;1760;10.4761904761905
32268;MONFERRAN-SAVES;756;0.301315265045835
45342;VILLEREAU;382;0.421168687982359
78516;RAIZEUX;900;0.864553314121037
32109;COULOUME-MONDEBAT;195;0.0841605524384981
31528;SAMAN;170;0.303571428571429
25345;LONGEVELLE-SUR-DOUBS;679;0.815126050420168
95288;GROSLAY;8706;28.0838709677419
2589;PARGNY-FILAIN;247;0.488142292490119
2542;NEUFLIEUX;97;0.50259067357513
64546;URT;2218;1.17416622551615
76650;SAINT-SAUVEUR-D'EMALLEVILLE;1191;1.57957559681698
10087;CHASEREY;56;0.0805755395683453
77065;CELY;1180;1.91247974068071
56148;NOSTANG;1469;0.938658146964856
9246;RIMONT;550;0.189263592567103
16117;CURAC;122;0.24847250509165
86296;VOULON;436;0.520908004778972
59129;CAPPELLE-EN-PEVELE;2299;2.82432432432432
27138;CHAMBLAC;389;0.183577159037282
65416;SEICH;78;0.105691056910569
68174;LANDSER;1550;5.03246753246753
14221;DEMOUVILLE;3281;9.08864265927978
55544;VELOSNES;169;0.388505747126437
9007;ALLIERES;71;0.0777656078860898
59302;HERIN;3995;8.81898454746137
92051;NEUILLY-SUR-SEINE;62346;167.596774193548
26345;SUZE-LA-ROUSSE;2023;0.666117879486335
89164;FESTIGNY;79;0.144688644688645
5084;MONTGARDIN;459;0.30784708249497
88450;SENAIDE;175;0.14571190674438
71293;MENETREUIL;409;0.271040424121935
10017;AULNAY;141;0.134670487106017
32339;RAZENGUES;216;0.489795918367347
65295;LUZ-SAINT-SAUVEUR;981;0.192730844793713
82136;ORGUEIL;1610;1.1516452074392
88521;VOMECOURT;282;0.39943342776204
27201;DAUBEUF-LA-CAMPAGNE;232;0.358578052550232
11420;VILLEBAZY;125;0.0989707046714173
1368;SAINT-JULIEN-SUR-VEYLE;752;0.762677484787018
